TaxID	phylum	class	order	family	genus
4930	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4910	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
5073	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
12967		Bigyra	Opalinata	Blastocystidae	Blastocystis
29832	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora
13366	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces
4958	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
5740	Fornicata		Diplomonadida	Hexamitidae	Giardia
4919	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
4895	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
5758	Evosea		Mastigamoebida	Entamoebidae	Entamoeba
5052	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
79922	Platyhelminthes	Trematoda	Opisthorchiida	Opisthorchiidae	Clonorchis
507510	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia
4838	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor
688353	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia
13705	Mucoromycota	Mucoromycetes	Mucorales	Syncephalastraceae	Syncephalastrum
1535326	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
55193	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
604195	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
33196	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
6953	Arthropoda	Arachnida	Sarcoptiformes	Pyroglyphidae	Dermatophagoides
5340	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
38944	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina
5269	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago
265084	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
5598	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
231006	Ascomycota	Sordariomycetes	Hypocreales		Trichothecium
1052105	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium
4948	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora
45234	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps
374468	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces
5579	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
71245	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania
311780	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces
6237	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis
1910789	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
5552	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon
5475	Ascomycota	Saccharomycetes	Saccharomycetales		Candida
5583	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
36910	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
51027	Nematoda	Chromadorea	Rhabditida	Oxyuridae	Enterobius
47182	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis
5533	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula
45787	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella
5806	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium
95601	Arthropoda	Malacostraca	Decapoda	Varunidae	Eriocheir
64644	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor
6181	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma
52429	Arthropoda	Collembola	Poduromorpha	Neanuridae	Pseudachorutes
34622	Arthropoda	Arachnida	Ixodida	Ixodidae	Haemaphysalis
2849	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum
43971	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys
4953	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces
766728	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma
476763	Arthropoda	Insecta	Odonata	Chlorocyphidae	Rhinocypha
77850	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Kodamaea
5027	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora
148959	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia
36913	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces
300275	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea
599737	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
4842	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus
